kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
"LISNA MEGAWATI, S.Pd.I",Lisna Megawati,,Kurikulum 2013,-,TK KUDA LAUT,EC616FCFBF299F9253D6,69857110,Swasta,TK,Yayasan,,,914/101.2f/DS,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857110 TK KUDA LAUT BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,Tidak Ada,JL. TELUK SEMANGKA A-11,Sukapura,SUKA PURA,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14140,-6,106,5,8
Lulu Artistika,Sheila,,Kurikulum 2013,-,TK CHAMPSVILLE PRESCHOOL,CB887E041C3CDFF431C6,70025566,Swasta,TK,Yayasan,002/1.14.0/31.72.01/1.851.332/2017,2017-02-20,002/1.14.0/31.72.01/1.851.332/2017,2017-02-20,Tidak ada,,,,Tidak Bersedia Menrima,-,Belum Bersertifikat,PLN,100000,50 Mb,Pluit Karang Manis IX Blok E6 Utara No. 1 RT/RW 005/008,,Pluit,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,,-6,106,,
Joko Mandono,Vivi Sonya Juli Yanti Christina,A,Kurikulum 2013,-,SMP KRISTEN IMMANUEL,4DDF9B305FC0A921D7E2,20106801,Swasta,SMP,Yayasan,SP.669/I/01.IA/I.86,1986-10-17,2555/I.851.58,2010-04-16,Tidak ada,BANK DKI,PINTU BESAR SELATAN,JOKO MANDONO,Bersedia Menerima,-,Belum Bersertifikat,PLN,20,5 Mb,"Jl. Al-Amanah Raya No. 145 Kav. Polri Blok F, Jelambar",Wijaya Kusuma,Tanjung Duren Utara,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11460,-6,106,3,10
Nurul Hidayati,Julianto Nasution,A,Kurikulum 2013,-,SMKS ERA PEMBANGUNAN,37DF44584AC267CC87F1,20104455,Swasta,SMK,Yayasan,2311/-1.851.78,2004-09-29,8856/-1.851.78 dan 5840/-1.851.78,2013-10-28,Tidak ada,BPD DKI...,BPD DKI CABANG DISPENDA DAAN MOGOT...,SMKERAPEMBANGUNAN...,Bersedia Menerima,-,Belum Bersertifikat,PLN & Diesel,43000,100 Mb,JL. GAGA ALAS TUA No. 122,-,Semanan,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11850,-6,106,3,4
PLT - Muriah Handayani,FEBRIANA ARIANTI,,Kurikulum 2013,-,TK Little Bee Kindergarten,6D20169D6D4CC4A4FA1E,70012330,Swasta,TK,Yayasan,03 Tahun 2017,2017-03-17,001/A.1/31.72.04.1002/-072.26/2021,2021-02-10,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,70012330 TK LBK BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,450000,100 Mb,Jl. Raya Boulevard Gading Orchad Rt.009 Rw. 001,,Suka Pura,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14140,0,0,9,11
Tika Sularti,TK CHANDRA KUSUMA,B,Kurikulum 2013,Sehari penuh (5 h/m),TK CHANDRA KUSUMA,97DBBE7E3B4B5FEE24C1,69856973,Swasta,TK,Yayasan,1343 Tahun 2014,2014-08-25,1343 Tahun 2014,2014-08-25,K - Kesulitan Belajar,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69856973 TK CHANDRA KUSUMA BOPP,Tidak Bersedia Menrima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN & Diesel,66000,50 Mb,Jl. Villa Kapuk Mas Selatan V Blok H4 No.1 RT.07/RW.05,kapuk muara,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14460,-6,106,10,5
Lewi Cendana,Mery,A,Kurikulum 2013,Sehari penuh (5 h/m),SMP KRISTEN PANCARAN BERKAT,E835311B190974487E81,20106851,Swasta,SMP,Yayasan,02325/IMB/1986,1989-12-28,1067/-1.851.58,2010-02-19,Tidak ada,DKI JAKARTA,PINTU BESAR,SMP Kristen Pancaran Berkat,Bersedia Menerima,Sehari penuh (5 h/m),9001:2000,PLN,22000,40 Mb,Jl. Setia Jaya Raya No. 100,jelambar,Jelambar Baru,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11460,-6,106,6,5
Eka Setiawati,Sania,B,Kurikulum 2013,-,SMKS INSAN CITA,5FC44571644868CA3CD0,20177897,Swasta,SMK,Yayasan,4289/-1.851.7,2012-06-05,10304/-1.851.78,2013-11-29,Tidak ada,BPD DKI...,BPD DKI CABANG KANTOR WALIKOTA JAKARTA BARAT...,SMKINSANCITA...,Bersedia Menerima,-,Belum Bersertifikat,PLN,0,500 Mb,JL. RAYA DAAN MOGOT KM.18 WARUNG GANTUNG NO. 28 KP. KOJAN RT. 005/06,,KALIDERES,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11840,-6,106,5,6
RUSIDAYATI,SOLIHATUN,B,Kurikulum 2013,Sehari penuh (5 h/m),TK LKMD KALI BARU,54ADB40A1280284D0EE3,69857148,Swasta,TK,Yayasan,,,1153A/101.2f,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857148 TK LKMD KALI BARU BOPP,Tidak Bersedia Menrima,Sehari penuh (5 h/m),9001:2000,PLN,1200,Tidak Ada,JL. KALI BARU BARAT IV,KALIBARU,KALI BARU,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14110,0,0,3,12
Sukinah,TK CIKAL BANGSA,B,Kurikulum 2013,-,TK CIKAL BANGSA,99CB58089860A000160E,69856969,Swasta,TK,Yayasan,146 Tahun 2012,2012-09-18,146 Tahun 2012,2012-09-18,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69856969 TK CIKAL BANGSA BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,7300,Tidak Ada,Jl. Tanah Pasir RT.06/RW.06 RSB Blok Cempaka Lt. Dasar,Penjaringan,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,-6,106,14,6
Tita Mulyawati,Siti Aisyah,B,Kurikulum 2013,-,SMP Maarif,2A790DEBA58EEA4674FB,20106834,Swasta,SMP,Yayasan,SP.655/I01.1A/I.86,1986-10-08,10298/-1.851.58,2013-11-29,Tidak ada,BPD DKI...,BPD DKI CABANG PINTU BESAR SELATAN...,SMPMAARIF...,Bersedia Menerima,-,Belum Bersertifikat,PLN,11000,100 Mb,Jl. Dr. Muwardi Raya No. 19,Grogol,Grogol,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11450,-6,106,9,3
Dawam Anwar,Haryadi,B,Kurikulum 2013,Pagi,SMKS INSAN GLOBAL,8A9273B190287453527B,20109187,Swasta,SMK,Yayasan,006/SK.KFI/08/2016,2016-09-01,005/1.10.0/31.73./1.851.6/2016,2016-09-01,Tidak ada,BRI,kalideres,SMK INSAN GLOBAL,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,7700,100 Mb,JL. TANJUNG PURA NO. 5,Koang,Pegadungan,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11830,-6,106,5,5
Desri Agustin,Umi Latifah,,Kurikulum 2013,-,TK LKMDK CILINCING,C60572B04EFEF1D7A13A,20110713,Swasta,TK,Yayasan,,,-,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,20110713 TK LKMDK CILINCING BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,Tidak Ada,JL. CILINCING LAMA RT 02 / 04,Cilincing jakarta utara,CILINCING,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14120,0,0,2,4
SRI ASIH,AHMAD MAKI,,Kurikulum 2013,-,TK DAARUL GHUFRON,B0DC376C3E03041D83DB,69856968,Swasta,TK,Yayasan,0438 Tahun 2009,2009-05-26,0438 Tahun 2009,2009-05-26,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69856968 TK DAARUL GHUFRON BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,30 Mb,Jl. Luar Batang V No.22 RT.09/RW.03,,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,-6,106,15,3
Yuliana Elly Maspiah,Trianto Bagas,B,Kurikulum 2013,-,SMP MUHAMMADIYAH 12,7E31E88DD4C143140E12,20106840,Swasta,SMP,Yayasan,SP 541/101.1A/I.86,1986-02-17,1754/-1.851.58,2013-03-05,Tidak ada,DKI,PINTU BESAR SELATAN,SMP MUHAMMADIYAH 12,Bersedia Menerima,-,Proses Sertifikasi,PLN,15000,40 Mb,Jl. Dr. Susilo I,Grogol,Grogol,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11450,-6,106,15,3
"Lukman Furqon, S.pd.",Azka,A,Kurikulum 2013,-,SMKS JAKARTA 1,69659693A8B0D4613EDC,20101640,Swasta,SMK,Yayasan,SP.1928/I01.1A/I.85,1985-12-30,11363/-1.851.78,2013-11-30,Tidak ada,BPD DKI...,BPD DKI CABANG ALAM SUTERA...,SMKJAKARTA1...,Bersedia Menerima,-,Belum Bersertifikat,PLN,2276,300 Mb,JL. PETA SELATAN NO. 24 KALIDERES,Kalideres,Kalideres,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11840,-6,106,11,1
FRANSINA ADELY ANIE,Yudi,A,Kurikulum 2013,-,TK DARMA SATRIA PERSADA,A031693131B97E2D0BFB,69856971,Swasta,TK,Yayasan,3102 Tahun 2012,2012-12-18,3102 Tahun 2012,2012-12-18,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69856971 TK DARMA SATRIA PERSADA BOPP,Tidak Bersedia Menrima,-,Belum Bersertifikat,PLN,7000,Tidak Ada,Jl. Teluk Indah Blok Q/24-29,Teluk Gong,Pejagalan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14450,-6,106,12,9
,,,,-,TK MAHAPRAJNA,C434B26AF5EFACD185AB,69857122,Swasta,TK,Yayasan,,,209,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857122 TK MAHAPRAJNA BOPP,-,-,-,-,,,JL.CILINCING LAMA,CILINCING,CILINCING,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14120,0,0,5,3
Fauzi,Faisal Alfarizi,A,Kurikulum 2013,Sehari penuh (5 h/m),SMP Muhammadiyah 33,2D098A1C57B90F435288,20106843,Swasta,SMP,Yayasan,SP.694/I.01.1A/I.86,1986-11-05,9861/-1.851.58,2012-11-30,Tidak ada,DKI,Pintu Besar Selatan,SMP MUHAMMADIYAH 33,Bersedia Menerima,Sehari penuh (5 h/m),Proses Sertifikasi,PLN,23000,Tidak Ada,Jl. Gelong Baru No.23A,,Tomang,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11440,-6,106,0,0
M. Hidayatullah,Deni Fahyumi,B,Kurikulum 2013,Kombinasi,SMKS KARTIKA X 1,523A38EC24DC8150C890,20101634,Swasta,SMK,Yayasan,C-546.HT.03.0-TH 2007,2007-12-28,001/A.2.1/31.73/-1.851/2017,2017-08-04,Tidak ada,bank DKI,Dipenda Daan Mogot,SMK KARTIKA X-1,Bersedia Menerima,Kombinasi,Belum Bersertifikat,PLN,6600,100 Mb,JL. DAAN MOGOT KM 17,komplek kodam jaya,Kalideres,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11840,-6,106,7,5
