kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
TRI MARYATI,SUKINEM,B,Kurikulum 2013,-,KB BINA INSANI,2C6C8B5D8F628476549D,69839716,Swasta,KB,Lainnya,01.1/PKK-SBR/VI/2007,2007-06-09,421.9/0797,2008-03-26,"C,D,F,H,I,J,K,P",BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839716 KB BINA INSANI,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,Tidak Ada,SUMBERREJO RT 24,SUMBERREJO,Jatirejo,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,-7,110,24,
Ahmad Mufid,ELIS AFIANAH,A,Kurikulum 2013,Pagi,SMKS DARUTTAQWA,9AB61E480DEC619835BD,20537015,Swasta,SMK,Yayasan,421.5/286/108.09/2005,,-,,Tidak ada,JATIM,GRESIK,SMKS DARUTTAQWA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,13000,40 Mb,KH. SYAFII GG SYAIKHUNA SUCI MANYAR GRESIK,Suci,SUCI,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,2,1
Subandiyah,Suwarti,A,Kurikulum 2013,-,TK ISLAM TUNAS MELATI,1D70E5EDBB848E5B50E2,20409326,Swasta,TK,Yayasan,364/I13.1/Kpts/1997,1997-01-25,210011,2021-09-03,Tidak ada,BPD YOGYAKARTA,SENOPATI,20409326 TK ISLAM TUNAS MELATI,Bersedia Menerima,-,9001:2008,PLN,3500,20 Mb,JL. TIMOHO UH II NO. 338,Tegal Melati,Muja Muju,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55165,-7,110,23,7
"SULIPAH, S.Pd.AUD","SULIPAH, S.Pd AUD",B,Kurikulum 2013,Kombinasi,TK DHARMA WANITA PERSATUAN BETON,5AF5077B53FCA71D619F,20573112,Swasta,TK,Yayasan,421.1/2840/403.53/2007/SK,2007-07-10,503.2.19/128/437.74/2019,2019-07-25,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,20573112 TK DWP BETON,Bersedia Menerima,Kombinasi,Belum Bersertifikat,PLN,1300,3 Mb,Desa Beton,BETON,Beton,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,61174,0,0,0,0
Sri Anggrahita Ningsih,MUHAMMAD SYAIFULLAH,A,Kurikulum 2013,Pagi,SMKS YASMU GRESIK,C701105EFB12AF3D53D5,20500420,Swasta,SMK,Yayasan,421.5/946/437.53.3/1999,1999-03-16,421/912/437.53/2015,2015-06-25,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG BPD  GRESIK...,SMKSYASMUGRESIK...,Bersedia Menerima,Pagi,9001:2008,PLN,50000,300 Mb,JL. KY. SAHLAN I/24 MANYAR,-,Manyarejo,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,1,3
EKA SRI ASTUTI,Suriyani,A,Kurikulum 2013,Sehari penuh (5 h/m),TK IT AL KHAIRAAT,0189B7EC33E41E59C0B0,20409335,Swasta,TK,Yayasan,01/YPDS/AK/VII/2000,2020-07-03,220165,2022-08-12,H - Hiperaktif,BPD YOGYAKARTA,SENOPATI,20409335 TK IT AL KHAIRAAT,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,2300,Tidak Ada,JL. WARUNGBOTO I,WARUNGBOTO,Warungboto,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55164,-7,110,29,7
UMIYATI,Septiasih,B,Kurikulum 2013,-,KB BINTANG SEMBILAN NUURULSSALAM,6A630CA67EFD7F2FAB89,69839708,Swasta,KB,Yayasan,19,2010-04-13,421.9 / 1108,2006-01-01,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839708 KB BINTANG SEMBILAN NUURULSSALAM,Bersedia Menerima,-,Belum Bersertifikat,-,450,Tidak Ada,NGIPIK RT 49 RW 22,Ngipik,Bumirejo,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,0,0,49,22
SITI FATIMAH,SITI FATIMAH,A,Kurikulum 2013,Pagi,TK DHARMA WANITA PERSATUAN BOTENG,6DDE2406D001BE57C87A,20573114,Swasta,TK,Yayasan,No. Kep 06/2001,2001-01-22,503.2.19/II    /437.74/2019,2019-03-27,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,20573114 TK DWP BOTENG,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,0,Tidak Ada,Jl. Raya Boteng No. 8,kecipik,Boteng,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,61174,0,0,1,1
Reni Tri Kurniawati,Fitriana Nurcahyani,A,Kurikulum 2013,-,TK IT BINA ANAK SHOLEH,1DD50178096CB8460F53,20409329,Swasta,TK,Yayasan,Nomor 188/284,2003-01-22,Nomor : 188/284,2003-01-22,Tidak ada,BPD DIY,CABANG SENOPATI,TKIT BINA ANAK SHOLEH,Tidak Bersedia Menrima,-,Belum Bersertifikat,PLN,30000,300 Mb,Jl. Mendung Warih 33 Giwangan Yogyakarta,Mendungan,Giwangan,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55163,-7,110,31,11
"DANING KUSNIAPUANTARI, S.T.P",Daning Kusniapuantari,B,Kurikulum 2013,-,KB CITRAGAMI,E3855656E8ACD55EBBD6,69839709,Swasta,KB,Yayasan,,,101 TAHUN 2013,2013-04-03,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839709 KB CITRAGAMI,Bersedia Menerima,-,Belum Bersertifikat,-,450,5 Mb,DUSUN CABEAN,CABEAN,BUMIREJO,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,-7,110,12,6
PLT - Ahmad Jamhari,Izzatul Mawaddah,C,Kurikulum 2013,Kombinasi,PKBM RETNO SUWARI,5D1B73B7C0B623D2FE74,P9952786,Swasta,PKBM,Lainnya,503.67/330/437.74/2021,2008-01-02,Dinas Penanaman Modal dan Perizinan,2016-11-03,Tidak ada,BPD JAWA TIMUR,GRESIK,P9952786 PKBM RETNO SUWARI,Bersedia Menerima,Kombinasi,Belum Bersertifikat,PLN,2200,Linknet,Desa Leran RT. 006 RW. 002,LERAN,Leran,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,1,1
